Car_ID,Brand,Model,Year,Age ,Mileage(km),Fuel_Type,Transmission,Owner,Location,Market_Price(INR)
91,Tata,Nexon,2013,12,113774,CNG,Automatic,1st Owner,Hyderabad,644136
92,Volkswagen,Virtus,2009,16,122059,Electric,Automatic,2nd Owner,Jaipur,494102
93,Toyota,Glanza,2012,13,105393,Diesel,Automatic,1st Owner,Chennai,880949
94,Ford,Endeavour,2009,16,134847,Petrol,Manual,3rd Owner,Nagpur,463755
95,Renault,Kwid,2021,4,124780,Petrol,Manual,2nd Owner,Delhi,353266
96,Honda,Jazz,2017,8,26054,CNG,Automatic,2nd Owner,Ahmedabad,264260
97,Mahindra,Thar,2012,13,28692,Electric,Manual,3rd Owner,Pune,891367
98,Honda,City,2006,19,90032,Petrol,Automatic,2nd Owner,Chennai,375988
99,Kia,Carnival,2023,2,52200,Diesel,Manual,1st Owner,Nagpur,1564608
100,Mahindra,XUV500,2023,2,42517,Diesel,Automatic,3rd Owner,Hyderabad,1743318
101,Maruti,Dzire,2014,11,148287,Diesel,Manual,2nd Owner,Chennai,609217
102,Ford,Aspire,2019,6,84199,Diesel,Automatic,2nd Owner,Pune,768137
103,Toyota,Yaris,2014,11,82392,Petrol,Automatic,2nd Owner,Mumbai,230647
104,Renault,Triber,2012,13,97358,Diesel,Manual,3rd Owner,Hyderabad,326553
105,Maruti,WagonR,2019,6,13746,CNG,Manual,1st Owner,Hyderabad,1256894
106,Tata,Altroz,2009,16,146402,CNG,Automatic,1st Owner,Hyderabad,632225
107,Honda,Jazz,2008,17,127770,Petrol,Manual,1st Owner,Kolkata,390210
108,Ford,Figo,2013,12,145659,Petrol,Automatic,2nd Owner,Hyderabad,724982
109,Toyota,Innova,2012,13,128594,Petrol,Automatic,3rd Owner,Bangalore,188651
110,Renault,Triber,2018,7,35585,Diesel,Manual,1st Owner,Hyderabad,1430062
111,Mahindra,XUV700,2009,16,106881,Electric,Automatic,3rd Owner,Jaipur,578267
112,Tata,Harrier,2008,17,133279,Electric,Automatic,1st Owner,Chennai,269471
113,Mahindra,Thar,2008,17,101294,CNG,Manual,2nd Owner,Hyderabad,291935
114,Renault,Kwid,2011,14,10598,Petrol,Automatic,1st Owner,Delhi,437075
115,Kia,Sonet,2023,2,61610,Diesel,Automatic,1st Owner,Nagpur,201842
116,Tata,Altroz,2022,3,70707,Diesel,Manual,3rd Owner,Mumbai,547721
117,Mahindra,XUV700,2015,10,9136,Diesel,Automatic,1st Owner,Delhi,1193477
118,Hyundai,Venue,2019,6,99906,Petrol,Automatic,3rd Owner,Bangalore,274585
119,Kia,Carens,2019,6,13165,Petrol,Automatic,2nd Owner,Kolkata,519069
120,Renault,Kwid,2007,18,89439,Diesel,Manual,1st Owner,Hyderabad,362226
121,Volkswagen,Taigun,2019,6,137527,Electric,Manual,3rd Owner,Pune,625758
122,Mahindra,XUV500,2015,10,123882,Electric,Automatic,3rd Owner,Pune,694189
123,Honda,Jazz,2009,16,129326,Petrol,Manual,1st Owner,Pune,505771
124,Toyota,Glanza,2022,3,20723,CNG,Manual,2nd Owner,Chennai,1832920
125,Maruti,WagonR,2014,11,97181,Petrol,Manual,1st Owner,Ahmedabad,574431
126,Toyota,Yaris,2016,9,35116,CNG,Manual,2nd Owner,Jaipur,218958
127,Honda,City,2010,15,76636,CNG,Automatic,2nd Owner,Mumbai,367698
128,Volkswagen,Virtus,2007,18,42191,Petrol,Manual,3rd Owner,Jaipur,288111
129,Renault,Triber,2010,15,102007,CNG,Automatic,3rd Owner,Nagpur,207854
130,Tata,Altroz,2006,19,26386,CNG,Automatic,3rd Owner,Kolkata,531051
131,Ford,Aspire,2011,14,139308,Petrol,Automatic,2nd Owner,Pune,472709
132,Volkswagen,Virtus,2021,4,85850,Petrol,Manual,2nd Owner,Nagpur,300943
133,Honda,Amaze,2009,16,71982,CNG,Automatic,1st Owner,Mumbai,755516
134,Tata,Altroz,2017,8,144613,Diesel,Automatic,1st Owner,Kolkata,203951
135,Renault,Kwid,2015,10,117534,Electric,Automatic,2nd Owner,Pune,808720
136,Toyota,Glanza,2019,6,99857,Petrol,Automatic,1st Owner,Bangalore,1285943
137,Kia,Seltos,2017,8,86336,CNG,Manual,2nd Owner,Delhi,321546
138,Hyundai,Verna,2021,4,55830,CNG,Automatic,3rd Owner,Delhi,852465
139,Honda,Amaze,2010,15,45073,Petrol,Manual,3rd Owner,Ahmedabad,839871
140,Volkswagen,Virtus,2023,2,89727,CNG,Manual,2nd Owner,Pune,1654122
141,Honda,Jazz,2023,2,19725,CNG,Manual,2nd Owner,Ahmedabad,1720623
142,Toyota,Fortuner,2007,18,28670,Electric,Automatic,3rd Owner,Jaipur,110280
143,Volkswagen,Vento,2015,10,129683,Diesel,Manual,2nd Owner,Pune,823692
144,Hyundai,Verna,2010,15,15260,Diesel,Automatic,2nd Owner,Jaipur,968008
145,Toyota,Fortuner,2014,11,106558,Electric,Automatic,3rd Owner,Nagpur,218918
146,Toyota,Innova,2015,10,29774,Electric,Automatic,2nd Owner,Nagpur,480397
147,Volkswagen,Vento,2016,9,86325,Electric,Manual,3rd Owner,Pune,829588
148,Toyota,Glanza,2021,4,29498,Electric,Automatic,1st Owner,Chennai,1143493
149,Mahindra,Thar,2020,5,55333,Diesel,Manual,1st Owner,Pune,1133598
150,Hyundai,Verna,2022,3,143027,Petrol,Automatic,3rd Owner,Delhi,1070279
151,Tata,Punch,2010,15,119733,Petrol,Automatic,2nd Owner,Bangalore,657053
152,Renault,Duster,2022,3,67696,CNG,Automatic,1st Owner,Chennai,1584039
153,Honda,WRV,2021,4,143270,Electric,Manual,1st Owner,Nagpur,534844
154,Maruti,Dzire,2016,9,31893,Petrol,Automatic,1st Owner,Delhi,826886
155,Kia,Sonet,2018,7,29042,Diesel,Automatic,2nd Owner,Mumbai,1229119
156,Kia,Carens,2012,13,106231,Petrol,Automatic,1st Owner,Mumbai,651467
157,Toyota,Glanza,2009,16,15040,CNG,Automatic,3rd Owner,Delhi,766358
158,Maruti,Swift,2005,20,72088,Diesel,Manual,3rd Owner,Nagpur,415214
159,Honda,Amaze,2014,11,36941,Petrol,Manual,2nd Owner,Nagpur,1025722
160,Renault,Kiger,2022,3,9308,Diesel,Manual,2nd Owner,Kolkata,226658
161,Mahindra,XUV700,2018,7,54103,Petrol,Automatic,1st Owner,Jaipur,1614280
162,Kia,Seltos,2017,8,128243,Petrol,Automatic,2nd Owner,Hyderabad,156243
163,Hyundai,Creta,2012,13,32174,CNG,Manual,1st Owner,Chennai,797031
164,Tata,Harrier,2020,5,52783,Diesel,Manual,3rd Owner,Ahmedabad,277907
165,Maruti,Baleno,2006,19,87731,CNG,Automatic,3rd Owner,Ahmedabad,235654
166,Mahindra,Thar,2016,9,17531,CNG,Automatic,1st Owner,Chennai,1386387
167,Renault,Captur,2015,10,53973,Electric,Automatic,2nd Owner,Jaipur,776699
168,Ford,Figo,2018,7,52305,CNG,Automatic,1st Owner,Pune,1081585
169,Honda,WRV,2018,7,48684,Electric,Automatic,2nd Owner,Mumbai,1149306
170,Ford,Aspire,2006,19,24671,Electric,Automatic,3rd Owner,Delhi,80635
171,Volkswagen,Virtus,2006,19,38090,Petrol,Manual,3rd Owner,Chennai,383021
172,Volkswagen,Polo,2009,16,122944,CNG,Automatic,2nd Owner,Pune,225983
173,Ford,Aspire,2013,12,70434,Petrol,Manual,3rd Owner,Delhi,1050510
174,Kia,Seltos,2013,12,73233,Electric,Manual,3rd Owner,Hyderabad,963886
175,Tata,Nexon,2019,6,50260,Electric,Manual,3rd Owner,Chennai,1215963
176,Kia,Carens,2014,11,46289,Diesel,Automatic,3rd Owner,Bangalore,423130
177,Tata,Altroz,2020,5,11890,CNG,Automatic,2nd Owner,Jaipur,634217
178,Hyundai,i10,2014,11,109375,Electric,Automatic,2nd Owner,Nagpur,226370
179,Toyota,Innova,2019,6,127115,CNG,Manual,3rd Owner,Nagpur,605027
180,Tata,Harrier,2021,4,19526,Petrol,Manual,2nd Owner,Delhi,723551
181,Mahindra,Thar,2021,4,79461,Petrol,Automatic,1st Owner,Jaipur,915697
182,Honda,Civic,2022,3,29491,Diesel,Manual,1st Owner,Nagpur,1474188
183,Volkswagen,Polo,2005,20,26292,Petrol,Automatic,3rd Owner,Bangalore,387392
184,Maruti,Dzire,2022,3,80935,CNG,Automatic,1st Owner,Kolkata,1094246
185,Maruti,Baleno,2019,6,113952,Electric,Automatic,1st Owner,Chennai,481541
186,Toyota,Fortuner,2017,8,39279,CNG,Manual,2nd Owner,Bangalore,1278189
187,Renault,Duster,2009,16,30378,Petrol,Automatic,2nd Owner,Nagpur,643424
188,Tata,Tiago,2023,2,86976,Diesel,Manual,2nd Owner,Jaipur,1677557
189,Honda,WRV,2005,20,28605,Electric,Automatic,1st Owner,Bangalore,296784
190,Honda,WRV,2020,5,79907,Petrol,Manual,2nd Owner,Delhi,955209
191,Ford,Aspire,2006,19,110010,Petrol,Manual,2nd Owner,Jaipur,250076
192,Kia,Carnival,2022,3,78327,Petrol,Manual,1st Owner,Kolkata,1426678
193,Toyota,Yaris,2016,9,42818,Diesel,Automatic,3rd Owner,Mumbai,233748
194,Toyota,Etios,2021,4,124796,Diesel,Manual,2nd Owner,Nagpur,932249
195,Volkswagen,Taigun,2023,2,93178,Electric,Automatic,2nd Owner,Mumbai,1298303
196,Hyundai,Venue,2023,2,85655,Petrol,Automatic,2nd Owner,Nagpur,958875
197,Volkswagen,Virtus,2010,15,142424,Electric,Manual,3rd Owner,Bangalore,110981
198,Hyundai,i20,2005,20,120615,CNG,Automatic,1st Owner,Kolkata,164709
199,Volkswagen,Virtus,2006,19,41197,Diesel,Automatic,3rd Owner,Ahmedabad,527121
200,Tata,Harrier,2022,3,94738,CNG,Automatic,3rd Owner,Ahmedabad,822419
201,Honda,Civic,2014,11,63947,CNG,Automatic,3rd Owner,Bangalore,1082653
202,Toyota,Yaris,2013,12,80442,Petrol,Automatic,2nd Owner,Chennai,361350
203,Honda,City,2016,9,120966,CNG,Automatic,1st Owner,Bangalore,731312
204,Honda,Amaze,2008,17,67726,Diesel,Manual,3rd Owner,Jaipur,340160
205,Maruti,Swift,2018,7,91584,Electric,Manual,3rd Owner,Delhi,174657
206,Tata,Harrier,2020,5,130160,Diesel,Automatic,2nd Owner,Hyderabad,318824
207,Hyundai,Verna,2012,13,145286,Petrol,Manual,2nd Owner,Delhi,150660
208,Ford,Endeavour,2010,15,80882,Petrol,Manual,2nd Owner,Nagpur,254836
209,Toyota,Fortuner,2019,6,147422,Electric,Manual,3rd Owner,Ahmedabad,701353
210,Hyundai,Creta,2010,15,125301,CNG,Manual,1st Owner,Chennai,451912
211,Mahindra,Scorpio,2017,8,117119,CNG,Manual,2nd Owner,Pune,585170
212,Renault,Triber,2012,13,6790,CNG,Automatic,1st Owner,Ahmedabad,707498
213,Honda,Civic,2023,2,7997,CNG,Automatic,3rd Owner,Bangalore,477720
214,Renault,Triber,2010,15,111277,CNG,Manual,3rd Owner,Hyderabad,569918
215,Mahindra,Scorpio,2020,5,45156,Electric,Automatic,2nd Owner,Jaipur,1702431
216,Mahindra,Scorpio,2007,18,142758,Electric,Automatic,1st Owner,Nagpur,131531
217,Kia,Sonet,2023,2,145682,Diesel,Manual,2nd Owner,Jaipur,1265938
218,Mahindra,XUV700,2020,5,28839,Electric,Manual,2nd Owner,Delhi,1780668
219,Volkswagen,Polo,2022,3,126209,CNG,Manual,2nd Owner,Hyderabad,181282
220,Volkswagen,Polo,2006,19,116069,CNG,Manual,3rd Owner,Mumbai,109086
221,Renault,Kwid,2014,11,112182,Diesel,Manual,3rd Owner,Kolkata,868738
222,Ford,Endeavour,2017,8,103473,Petrol,Manual,3rd Owner,Chennai,377229
223,Kia,Carnival,2021,4,38383,Diesel,Manual,1st Owner,Hyderabad,1758903
224,Kia,Carnival,2022,3,104425,Diesel,Manual,2nd Owner,Chennai,598891
225,Hyundai,i10,2018,7,9101,Diesel,Manual,1st Owner,Pune,273315
226,Maruti,Baleno,2006,19,110451,Electric,Manual,3rd Owner,Bangalore,84462
227,Honda,Amaze,2023,2,88598,CNG,Manual,2nd Owner,Delhi,1741326
228,Honda,Jazz,2006,19,50910,Electric,Automatic,1st Owner,Chennai,421285
229,Toyota,Etios,2018,7,44116,CNG,Automatic,1st Owner,Jaipur,1391878
230,Mahindra,Thar,2009,16,126379,Petrol,Automatic,2nd Owner,Jaipur,616556
231,Mahindra,Thar,2011,14,91576,Petrol,Automatic,2nd Owner,Pune,937622
232,Mahindra,Bolero,2013,12,103872,Petrol,Manual,1st Owner,Nagpur,476014
233,Toyota,Fortuner,2005,20,60524,Diesel,Manual,3rd Owner,Ahmedabad,231533
234,Mahindra,XUV500,2012,13,149724,CNG,Automatic,2nd Owner,Ahmedabad,861612
235,Honda,Jazz,2016,9,139431,Electric,Automatic,1st Owner,Ahmedabad,796216
236,Toyota,Fortuner,2018,7,16984,Diesel,Manual,1st Owner,Hyderabad,1335071
237,Mahindra,Thar,2012,13,104572,Diesel,Automatic,3rd Owner,Chennai,531198
238,Renault,Captur,2019,6,49101,CNG,Manual,1st Owner,Jaipur,1475543
239,Kia,Seltos,2021,4,13866,Petrol,Manual,1st Owner,Kolkata,721408
240,Mahindra,Bolero,2009,16,7396,Diesel,Automatic,2nd Owner,Mumbai,833214
241,Maruti,Swift,2022,3,149610,Electric,Manual,1st Owner,Jaipur,870989
242,Honda,City,2021,4,117872,Diesel,Manual,1st Owner,Jaipur,532335
243,Volkswagen,Taigun,2016,9,75077,Electric,Manual,2nd Owner,Kolkata,1198461
244,Mahindra,Thar,2007,18,13305,Petrol,Automatic,2nd Owner,Kolkata,557927
245,Maruti,Baleno,2007,18,136034,Electric,Automatic,3rd Owner,Pune,544594
246,Mahindra,Scorpio,2023,2,129649,CNG,Manual,1st Owner,Hyderabad,247445
247,Toyota,Innova,2011,14,42798,Electric,Manual,2nd Owner,Delhi,513142
248,Ford,Freestyle,2015,10,105622,Diesel,Manual,3rd Owner,Chennai,206803
249,Mahindra,Bolero,2015,10,108993,CNG,Manual,3rd Owner,Hyderabad,1002099
250,Toyota,Yaris,2017,8,118206,Diesel,Automatic,1st Owner,Nagpur,819187
251,Hyundai,i10,2013,12,45428,Electric,Manual,3rd Owner,Kolkata,725335
252,Hyundai,i10,2014,11,121584,CNG,Automatic,1st Owner,Delhi,244813
253,Renault,Kiger,2022,3,139333,Electric,Manual,1st Owner,Pune,1112905
254,Volkswagen,Taigun,2017,8,8235,CNG,Automatic,2nd Owner,Pune,860335
255,Tata,Harrier,2010,15,41396,CNG,Automatic,2nd Owner,Ahmedabad,288661
256,Ford,Aspire,2018,7,83578,Electric,Manual,2nd Owner,Hyderabad,804134
257,Renault,Kiger,2011,14,125025,Petrol,Manual,2nd Owner,Mumbai,608997
258,Volkswagen,Virtus,2015,10,120401,CNG,Automatic,3rd Owner,Nagpur,359031
259,Volkswagen,Vento,2020,5,87361,Diesel,Automatic,2nd Owner,Hyderabad,1667382
260,Mahindra,Thar,2017,8,78479,Electric,Automatic,1st Owner,Nagpur,635233
261,Kia,Sonet,2022,3,12055,Electric,Manual,2nd Owner,Hyderabad,493392
262,Ford,Endeavour,2009,16,84385,Diesel,Automatic,3rd Owner,Delhi,640914
263,Hyundai,Venue,2020,5,110068,Electric,Manual,2nd Owner,Jaipur,348793
264,Mahindra,Thar,2010,15,16612,Electric,Automatic,2nd Owner,Pune,104651
265,Mahindra,XUV700,2021,4,62942,Electric,Automatic,2nd Owner,Ahmedabad,1604365
266,Maruti,Dzire,2008,17,82445,Electric,Manual,1st Owner,Delhi,440036
267,Renault,Duster,2021,4,131596,CNG,Automatic,1st Owner,Ahmedabad,1281109
268,Honda,City,2008,17,10920,CNG,Manual,3rd Owner,Delhi,399751
269,Kia,Sonet,2015,10,116770,Electric,Manual,2nd Owner,Delhi,487814
270,Ford,Endeavour,2005,20,56727,Electric,Automatic,2nd Owner,Mumbai,192060
271,Hyundai,Verna,2008,17,145742,Diesel,Automatic,2nd Owner,Bangalore,453819
272,Renault,Kiger,2015,10,106879,Electric,Manual,2nd Owner,Chennai,1047911
273,Honda,Civic,2023,2,27217,Diesel,Automatic,1st Owner,Bangalore,1229699
274,Toyota,Glanza,2021,4,106833,Electric,Manual,3rd Owner,Kolkata,1253089
275,Kia,Sonet,2022,3,48742,Electric,Automatic,1st Owner,Delhi,1331729
276,Volkswagen,Polo,2016,9,7512,Electric,Manual,1st Owner,Kolkata,1539723
277,Ford,Endeavour,2018,7,121353,Electric,Manual,1st Owner,Nagpur,219132
278,Mahindra,Thar,2006,19,77051,Diesel,Automatic,1st Owner,Ahmedabad,477216
279,Hyundai,Verna,2008,17,75225,CNG,Manual,3rd Owner,Ahmedabad,348222
280,Hyundai,i20,2014,11,13449,Electric,Automatic,2nd Owner,Pune,1223056
281,Hyundai,i20,2011,14,96915,Electric,Manual,3rd Owner,Delhi,420920
282,Maruti,Celerio,2016,9,144534,CNG,Manual,2nd Owner,Hyderabad,675597
283,Kia,Seltos,2009,16,112897,Petrol,Automatic,3rd Owner,Delhi,213541
284,Toyota,Glanza,2017,8,133308,Diesel,Automatic,3rd Owner,Kolkata,900692
285,Hyundai,Venue,2021,4,77935,CNG,Automatic,2nd Owner,Chennai,198243
286,Hyundai,Venue,2016,9,21601,Electric,Manual,2nd Owner,Bangalore,1357798
287,Honda,Jazz,2022,3,39234,Electric,Automatic,3rd Owner,Mumbai,330254
288,Renault,Kwid,2008,17,46414,Electric,Automatic,1st Owner,Kolkata,350530
289,Tata,Tiago,2010,15,76832,Petrol,Automatic,2nd Owner,Pune,632776
290,Tata,Nexon,2017,8,85087,Diesel,Automatic,3rd Owner,Pune,329792
291,Renault,Kwid,2009,16,64294,Electric,Manual,1st Owner,Chennai,260251
292,Ford,Ecosport,2020,5,23567,Diesel,Automatic,1st Owner,Pune,501106
293,Honda,Amaze,2017,8,39903,Diesel,Manual,3rd Owner,Nagpur,182616
294,Tata,Harrier,2016,9,60851,Diesel,Automatic,3rd Owner,Ahmedabad,598762
295,Hyundai,i20,2008,17,105671,CNG,Automatic,2nd Owner,Delhi,310865
296,Hyundai,i20,2022,3,79690,Petrol,Automatic,1st Owner,Jaipur,1655880
297,Ford,Aspire,2006,19,67741,Electric,Automatic,1st Owner,Bangalore,500073
298,Hyundai,Verna,2005,20,99659,CNG,Manual,2nd Owner,Nagpur,314024
299,Tata,Harrier,2007,18,9375,Petrol,Manual,2nd Owner,Bangalore,124267
300,Ford,Freestyle,2014,11,136346,Electric,Automatic,3rd Owner,Kolkata,249454
301,Kia,Sonet,2013,12,26914,CNG,Manual,3rd Owner,Bangalore,446872
302,Ford,Freestyle,2007,18,86309,Electric,Manual,1st Owner,Bangalore,153720
303,Hyundai,Venue,2006,19,86078,Diesel,Manual,1st Owner,Delhi,55153
304,Toyota,Yaris,2021,4,72960,Diesel,Automatic,1st Owner,Hyderabad,563623
305,Maruti,WagonR,2018,7,76298,Petrol,Automatic,3rd Owner,Nagpur,349491
306,Kia,Carens,2006,19,135969,Diesel,Automatic,1st Owner,Hyderabad,128493
307,Hyundai,i20,2021,4,5673,Petrol,Manual,1st Owner,Mumbai,1800534
308,Tata,Altroz,2006,19,149930,Electric,Manual,2nd Owner,Bangalore,363273
309,Toyota,Fortuner,2007,18,102729,Petrol,Manual,1st Owner,Bangalore,588587
310,Ford,Figo,2019,6,79005,CNG,Automatic,1st Owner,Jaipur,1249499
311,Mahindra,Thar,2023,2,84668,Diesel,Automatic,2nd Owner,Nagpur,1948896
312,Mahindra,XUV700,2012,13,44470,Petrol,Automatic,1st Owner,Bangalore,764987
